,ID,Property price (USD),Sold date (MM/DD/YYYY),Address,Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,AC,FormattedAddress,Longitude,Latitude
13,14,50000,9/9/2022,"2909 E Paradise Ln, Phoenix, AZ, 85032",510.0,sqft,98.04,7442.0,sqft,,,2909 E Paradise Ln,Phoenix,85032,0,"2909 E PARADISE LN, PHOENIX, AZ, 85032",-112.01971199418847,33.63347853349046
14,15,50000,3/14/2022,"2641 N Adams Ave, Phoenix, AZ, 85034",1310.0,sqft,38.17,1.88,acres,,,2641 N Adams Ave,Phoenix,85034,1,,,
15,16,50000,2/28/2022,"1625 W Betty Elyse Ln, Phoenix, AZ, 85023",1816.0,sqft,27.53,6003.0,sqft,,,1625 W Betty Elyse Ln,Phoenix,85023,0,"1625 W BETTY ELYSE LN, PHOENIX, AZ, 85023",-112.09396761204232,33.627493841676824
16,17,50000,1/3/2023,"2115 W Sherman St, Phoenix, AZ, 85009",,,,5461.0,sqft,,,2115 W Sherman St,Phoenix,85009,0,"2115 W SHERMAN ST, PHOENIX, AZ, 85009",-112.10472459159251,33.4401755899608
17,18,50000,1/3/2023,"2117 W Sherman St, Phoenix, AZ, 85009",,,,5142.0,sqft,,,2117 W Sherman St,Phoenix,85009,0,"2117 W SHERMAN ST, PHOENIX, AZ, 85009",-112.10476587068973,33.44017558996313
18,19,50000,2/18/2022,"3606 W Moreland St, Phoenix, AZ, 85009",1135.0,sqft,44.05,6631.0,sqft,3.0,2.0,3606 W Moreland St,Phoenix,85009,1,"3606 W MORELAND ST, PHOENIX, AZ, 85009",-112.13684275756202,33.46149418013027
19,20,50000,7/15/2021,"732 E Mountain View Rd, Phoenix, AZ, 85020",1001.0,sqft,49.95,7858.0,sqft,,1.0,732 E Mountain View Rd,Phoenix,85020,0,"732 E MOUNTAIN VIEW RD, PHOENIX, AZ, 85020",-112.06401730870408,33.57507297350065
20,21,50000,6/6/2022,"6515 W Palo Verde Ln, Phoenix, AZ, 85028",,,,1.08,acres,,,6515 W Palo Verde Ln,Phoenix,85028,0,,,
21,22,50000,12/30/2023,"16617 N 1st Dr, Phoenix, AZ, 85023",925.0,sqft,54.05,3000.0,sqft,2.0,2.0,16617 N 1st Dr,Phoenix,85023,1,"16617 N 1ST DR, PHOENIX, AZ, 85023",-112.07530872141223,33.63690754518012
22,23,50000,6/9/2022,"4139 W Roosevelt St LOT 220, Phoenix, AZ, 85009",784.0,sqft,63.78,,,3.0,1.0,4139 W Roosevelt St LOT 220,Phoenix,85009,1,"4139 W ROOSEVELT ST, PHOENIX, AZ, 85009",-112.14822289430458,33.458643589716075
23,24,50000,4/19/2023,"1550 W Southern Ave LOT 7, Phoenix, AZ, 85041",1040.0,sqft,48.08,,,2.0,2.0,1550 W Southern Ave LOT 7,Phoenix,85041,1,"1550 W SOUTHERN AVE, PHOENIX, AZ, 85041",-112.09184026199205,33.3922931872213
24,25,50100,7/26/2023,"6520 E Palo Verde Ln, Phoenix, AZ, 85028",,,,1.04,acres,,,6520 E Palo Verde Ln,Phoenix,85028,0,,,
25,26,51500,4/30/2021,"615 W Southgate Ave, Phoenix, AZ, 85041",,,,7500.0,sqft,,,615 W Southgate Ave,Phoenix,85041,0,"615 W SOUTHGATE AVE, PHOENIX, AZ, 85041",-112.08077800848736,33.40982917811357
26,27,51800,9/3/2021,"6507 W Glenrosa Ave, Phoenix, AZ, 85033",1529.0,sqft,33.88,9431.0,sqft,3.0,2.0,6507 W Glenrosa Ave,Phoenix,85033,1,"6507 W GLENROSA AVE, PHOENIX, AZ, 85033",-112.19891826336823,33.49859471913868
27,28,51879,7/1/2022,"4330 N 5th Ave APT 202, Phoenix, AZ, 85013",1454.0,sqft,35.68,628.0,sqft,,4.0,4330 N 5th Ave APT 202,Phoenix,85013,1,"4330 N 5TH AVE, PHOENIX, AZ, 85013",-112.08028086748743,33.499261584517285
28,29,52000,7/19/2023,"500 N 67th Ave #176, Phoenix, AZ, 85043",1680.0,sqft,30.95,,,2.0,2.0,500 N 67th Ave #176,Phoenix,85043,1,"500 N 67TH AVE, PHOENIX, AZ, 85043",-112.20348621743398,33.454374770065385
